,precision,recall,f1-score,support
apple,0.0,0.0,0.0,20.0
banana,1.0,1.0,1.0,20.0
blackgram,0.9285714285714286,0.65,0.7647058823529411,20.0
chickpea,1.0,1.0,1.0,20.0
coconut,1.0,1.0,1.0,20.0
coffee,1.0,1.0,1.0,20.0
cotton,1.0,1.0,1.0,20.0
grapes,1.0,1.0,1.0,20.0
jute,1.0,0.95,0.9743589743589743,20.0
kidneybeans,1.0,0.75,0.8571428571428571,20.0
lentil,1.0,0.55,0.7096774193548387,20.0
maize,0.95,0.95,0.95,20.0
mango,1.0,0.8,0.8888888888888888,20.0
mothbeans,0.5,1.0,0.6666666666666666,20.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,20.0
papaya,0.5,1.0,0.6666666666666666,20.0
pigeonpeas,0.8333333333333334,1.0,0.9090909090909091,20.0
pomegranate,1.0,1.0,1.0,20.0
rice,0.9523809523809523,1.0,0.975609756097561,20.0
watermelon,1.0,1.0,1.0,20.0
accuracy,0.8931818181818182,0.8931818181818182,0.8931818181818182,0.8931818181818182
macro avg,0.8938311688311689,0.8931818181818181,0.8801276373009229,440.0
weighted avg,0.8938311688311689,0.8931818181818182,0.8801276373009229,440.0
